GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-service,com.example.inventoryservice.infrastructure.web.config,SwaggerConfig,0,48,0,0,0,14,0,2,0,2
inventory-service,com.example.inventoryservice.infrastructure.web.config,WebClientConfig,19,31,0,0,2,9,1,2,1,2
inventory-service,com.example.inventoryservice.infrastructure.web.client.dto,ProductResponse,183,31,38,0,2,6,25,9,6,9
inventory-service,com.example.inventoryservice.infrastructure.web.client.dto,ProductResponse.ProductResponseBuilder,45,0,0,0,1,0,7,0,7,0
inventory-service,com.example.inventoryservice.domain.model,Inventory,56,171,23,15,1,12,23,12,4,12
inventory-service,com.example.inventoryservice.domain.model,Inventory.InventoryBuilder,11,35,0,0,0,1,1,6,1,6
inventory-service,com.example.inventoryservice.domain.model,Purchase.PurchaseBuilder,11,35,0,0,0,1,1,6,1,6
inventory-service,com.example.inventoryservice.domain.model,Purchase,60,167,23,15,1,12,24,11,5,11
inventory-service,com.example.inventoryservice.domain.model,Product,183,31,38,0,2,6,28,6,9,6
inventory-service,com.example.inventoryservice.domain.model,InventoryWithProduct,0,15,0,0,0,3,0,3,0,3
inventory-service,com.example.inventoryservice.domain.model,Product.ProductBuilder,10,35,0,0,0,1,1,6,1,6
inventory-service,com.example.inventoryservice.infrastructure.persistence.entity,PurchaseEntity.PurchaseEntityBuilder,46,0,0,0,1,0,7,0,7,0
inventory-service,com.example.inventoryservice.infrastructure.persistence.entity,InventoryEntity,172,50,40,0,3,8,25,11,5,11
inventory-service,com.example.inventoryservice.infrastructure.persistence.entity,PurchaseEntity,219,3,40,0,10,1,35,1,15,1
inventory-service,com.example.inventoryservice.infrastructure.persistence.entity,InventoryEntity.InventoryEntityBuilder,11,35,0,0,0,1,1,6,1,6
inventory-service,com.example.inventoryservice.application.service,PurchaseApplicationService,0,111,0,8,0,23,0,10,0,6
inventory-service,com.example.inventoryservice.application.service,InventoryApplicationService,0,95,0,6,0,24,0,8,0,5
inventory-service,com.example.inventoryservice.infrastructure.persistence.adapter,PurchasePersistenceAdapter,16,9,0,0,3,1,1,1,1,1
inventory-service,com.example.inventoryservice.infrastructure.persistence.adapter,InventoryRepositoryAdapter,0,64,0,0,0,10,0,5,0,5
inventory-service,com.example.inventoryservice.infrastructure.web.exception,ErrorResponse,191,50,40,0,1,8,29,8,9,8
inventory-service,com.example.inventoryservice.infrastructure.web.exception,ErrorResponse.ErrorResponseBuilder,13,42,0,0,0,1,1,7,1,7
inventory-service,com.example.inventoryservice.infrastructure.web.exception,GlobalExceptionHandler,110,91,0,0,36,29,4,5,4,5
inventory-service,com.example.inventoryservice.infrastructure.web.dto,PurchaseRequest,92,23,22,0,0,3,14,6,3,6
inventory-service,com.example.inventoryservice.infrastructure.web.dto,PurchaseResponse,103,21,22,0,1,4,17,4,6,4
inventory-service,com.example.inventoryservice.infrastructure.web.dto,InventoryRequest,61,14,14,0,0,2,10,4,3,4
inventory-service,com.example.inventoryservice.infrastructure.web.dto,InventoryResponse,103,21,22,0,1,4,17,4,6,4
inventory-service,com.example.inventoryservice.infrastructure.event,EventPublisherAdapter,7,7,0,0,2,2,1,2,1,2
inventory-service,com.example.inventoryservice.infrastructure.web.mapper,InventoryWebMapper,16,10,3,1,5,2,4,1,2,1
inventory-service,com.example.inventoryservice.infrastructure.web.mapper,PurchaseWebMapper,17,9,3,1,5,2,4,1,2,1
inventory-service,com.example.inventoryservice.infrastructure.web.controller,PurchaseController,0,24,0,0,0,6,0,3,0,3
inventory-service,com.example.inventoryservice.infrastructure.web.controller,InventoryController,0,37,0,0,0,8,0,4,0,4
inventory-service,com.example.inventoryservice,InventoryServiceApplication,5,3,0,0,2,1,1,1,1,1
inventory-service,com.example.inventoryservice.infrastructure.web.client,ProductCatalogClient,37,104,1,3,8,27,1,5,0,4
inventory-service,com.example.inventoryservice.infrastructure.security,ApiKeyAuthenticationFilter,116,10,12,0,29,2,9,2,3,2
inventory-service,com.example.inventoryservice.infrastructure.security,SecurityConfig,0,43,0,0,0,8,0,3,0,3
inventory-service,com.example.inventoryservice.infrastructure.aop,LoggingAspect,125,7,6,0,28,2,13,2,10,2
inventory-service,com.example.inventoryservice.infrastructure.persistence.mapper,InventoryMapper,4,37,2,2,2,15,2,3,0,3
inventory-service,com.example.inventoryservice.infrastructure.persistence.mapper,PurchaseMapper,38,3,4,0,16,1,4,1,2,1
inventory-service,com.example.inventoryservice.domain.exception,ExternalServiceException,4,5,0,0,2,2,1,1,1,1
inventory-service,com.example.inventoryservice.domain.exception,ProductNotFoundException,0,9,0,0,0,4,0,2,0,2
inventory-service,com.example.inventoryservice.domain.exception,InsufficientStockException,5,4,0,0,2,2,1,1,1,1
inventory-service,com.example.inventoryservice.domain.exception,InventoryNotFoundException,9,0,0,0,4,0,2,0,2,0
inventory-service,com.example.inventoryservice.domain.exception,ValidationException,9,0,0,0,4,0,2,0,2,0
